Year,Conference,Place,School
2025,Cascade Collegiate Conference,6,Corban University - Mens
2025,Cascade Collegiate Conference,7,Montana State-Northern - Mens
2025,Cascade Collegiate Conference,8,Simpson (Calif.) - Mens
2025,Cascade Collegiate Conference,9,Westcliff University - Mens
2025,Cascade Collegiate Conference,10,Evergreen State College - Mens
2025,Great Plains Athletic Conference,1,Doane University - Mens
2025,Great Plains Athletic Conference,2,Morningside (Iowa) - Mens
2025,Great Plains Athletic Conference,3,Concordia (Neb.) - Mens
2025,Great Plains Athletic Conference,4,Northwestern (Iowa) - Mens
2025,Great Plains Athletic Conference,5,Dakota Wesleyan (S.D.) - Mens
2025,Great Plains Athletic Conference,6,Briar Cliff (Iowa) - Mens
2025,Great Plains Athletic Conference,7,Hastings (Neb.) - Mens
2025,Great Plains Athletic Conference,8,Midland (Neb.) - Mens
2025,Great Plains Athletic Conference,9,Waldorf (Iowa) - Mens
2025,Heart of America Athletic Conference,1,Grand View (Iowa) - Mens
2025,Heart of America Athletic Conference,2,Central Methodist University - Mens
2025,Heart of America Athletic Conference,2,Missouri Valley College
2025,Heart of America Athletic Conference,3,Missouri Baptist University - Mens
2025,Heart of America Athletic Conference,4,Dickinson State (N.D.) - Mens
2025,Heart of America Athletic Conference,5,William Penn (Iowa) - Mens
2025,Heart of America Athletic Conference,6,William Woods University - Mens
2025,Heart of America Athletic Conference,6,Baker (Kan.) - Mens
2025,Heart of America Athletic Conference,7,Graceland University - Mens
2025,Heart of America Athletic Conference,7,St. Ambrose University - Mens
2025,Kansas Collegiate Athletic Conference,1,Friends University - Mens
2025,Kansas Collegiate Athletic Conference,2,Avila University - Mens
2025,Kansas Collegiate Athletic Conference,3,University of Saint Mary (KS) - Mens
2025,Kansas Collegiate Athletic Conference,4,Oklahoma Wesleyan University - Mens
2025,Kansas Collegiate Athletic Conference,5,Ottawa University - Mens
2025,Kansas Collegiate Athletic Conference,6,Bethany (Kan.) - Mens
2025,Kansas Collegiate Athletic Conference,7,York (Neb.) - Mens
2025,Wolverine-Hoosier Athletic Conference,1,Indiana Tech - Mens
2025,Wolverine-Hoosier Athletic Conference,2,Marian University (IN) - Mens
2025,Wolverine-Hoosier Athletic Conference,3,Cornerstone University - Mens
2025,Wolverine-Hoosier Athletic Conference,4,Rochester Christian University - Mens
2025,Wolverine-Hoosier Athletic Conference,5,Lourdes University - Mens
2025,Wolverine-Hoosier Athletic Conference,6,Siena Heights University - Mens
2025,Wolverine-Hoosier Athletic Conference,7,Cleary University- Mens
2025,Wolverine-Hoosier Athletic Conference,8,Defiance College - Mens
